bfinh,bfioh,bfieh,bfiah,bfich,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
375,410,338,378,222,4.4,4.33,4.44,2,4.5,0,9,1,95,13,2,18,3
338,430,250,378,311,3.4,4.33,4.11,2.13,4.7,18,7,0,399,53,2,19,2.9
225,360,313,411,244,3.8,3.67,4.44,2,3.8,11,4,0,274,6,1,23,2.7
250,330,363,433,433,4.2,4.33,4.44,1.75,3.7,116,30,0,430,24,2,20,3.3
363,300,313,433,400,4,4.33,4.44,1.88,3.8,3,17,0,201,28,2,18,3.5
338,310,163,311,333,4.2,3.67,4.78,1.25,3.8,25,3,1,159,14,1,24,3.2
250,470,450,389,356,4.4,4.11,4.89,1.38,4.5,81,23,0,298,28,2,19,3.8
313,450,263,378,400,4.4,4.22,4.89,1.5,3.8,7,13,4,119,5,2,18,3.1
288,380,338,356,389,3.8,4,4.78,1.63,4.3,344,24,1,314,14,2,18,3.5
325,420,388,344,311,4.4,4.22,4.78,1.88,4,180,14,2,191,20,2,22,3
288,390,400,467,467,4.6,4.78,4.67,1.5,4.4,22,3,0,180,32,2,20,2.8
375,300,225,278,256,3.4,4.22,4.33,2,4.1,3,1,0,417,12,1,19,2.6
300,310,425,344,367,5,3.89,4.33,1.5,3.8,32,12,0,363,42,2,19,3.5
350,430,413,333,289,4,3.89,4.33,1.5,4.4,84,1,2,139,7,2,20,3.2
213,390,250,356,433,4,4,4.56,1.38,4.5,173,9,1,224,29,2,20,3.9
313,350,375,378,267,4.6,4,5,1.63,4.8,27,2,0,64,27,1,20,3.4
138,350,288,322,333,3.8,4,4.56,1,4.1,20,6,1,58,17,2,19,3.5
275,390,363,433,467,4.6,4.33,4.89,1.63,4.4,286,57,1,282,26,2,19,3.5
375,360,338,378,256,3.8,4.44,4.67,1.75,4.3,4,4,0,269,40,2,21,2.3
388,420,188,378,267,4,4.67,4,1.25,4.6,1,3,4,123,15,1,20,2.8
238,320,300,422,333,4.6,3.89,4.11,3,4.1,1,2,0,260,30,1,19,3.3
338,350,425,344,333,4.4,3.67,4.44,1.75,3.8,1,13,0,199,45,2,19,3.4
300,310,400,411,378,5,4.78,4.78,2.25,3.9,30,7,0,322,59,2,19,3
325,370,338,344,311,3.8,3.89,4.11,1.5,4.3,3,2,0,198,25,1,18,2.8
288,490,363,356,356,4,3.89,4.67,1.38,4.5,22,3,0,458,96,2,20,3.3
163,430,313,367,333,4,4,4.33,1.63,4.4,21,3,0,248,41,2,19,3
288,350,150,333,267,4,4.44,4.56,1.38,4.4,162,4,9,136,21,2,19,2.3
325,300,263,367,333,3.8,3.67,4.56,1.38,3.7,140,25,1,419,11,2,22,2.9
338,420,338,367,400,4.6,4.44,4.78,2.13,4.2,53,11,0,395,57,2,20,3.2
275,380,450,267,222,3.8,3.56,4.11,1.88,3.9,15,8,1,139,7,1,20,3.4
463,400,300,389,411,4.2,4.67,4.67,2.13,4.3,795,42,0,273,12,2,20,2.5
250,480,350,378,322,4,4,4.78,1.5,4.1,24,26,0,574,66,2,20,3
350,370,413,389,322,3.8,4,4,1.5,4.2,15,5,2,120,10,2,19,3.2
350,410,363,300,300,4,3.89,4.67,1.88,4.1,117,29,4,489,19,2,20,1.9
