bfieh,bfiah,bfich,bfinh,bfioh,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
313,322,367,300,240,4.2,4.22,4.67,1.25,3.9,3,2,1,166,9,2,18,2.9
338,411,256,300,410,3.8,3.89,4.67,1.63,4.3,15,7,1,224,17,1,20,3.6
225,378,311,263,270,3.8,3.67,3.67,2.5,3.6,8,2,0,144,34,2,21,2.7
338,367,289,188,400,4.2,3.78,4.67,1.63,3.9,4,6,0,187,31,2,20,3.4
400,333,333,300,380,4.2,4.22,4.56,1.88,3.6,47,39,0,315,18,2,20,2.9
325,311,378,338,270,4.4,3.78,4.67,1.75,3.6,44,14,3,278,45,2,18,2.5
350,389,344,138,410,4.4,3.89,4.33,1,4.4,3,3,1,435,17,1,19,3.6
288,289,322,288,470,3.4,2.67,4,1.88,4.8,4,3,0,83,23,2,18,3.5
213,333,378,350,310,3.8,4.33,4.78,1.75,3.9,0,1,0,258,9,1,20,3.4
288,367,300,425,430,3.4,4.33,4.11,1.63,3.9,209,31,0,468,31,2,18,2.9
350,344,344,288,410,4.4,4.56,4.33,1.13,4.2,36,6,0,434,41,1,24,3.6
400,378,367,363,470,4.6,4.56,4.89,1.63,4.9,15,14,0,307,25,2,18,3.4
313,322,289,250,410,3.4,3,4,1.75,4.6,93,13,0,66,8,2,24,3.4
350,378,233,375,360,4.6,3.78,4.33,1.63,3.9,23,6,9,93,26,2,19,3.4
413,367,244,113,370,4.8,4.22,4.11,1.25,4,22,20,0,208,32,2,18,3.2
450,311,333,375,500,4.6,4.44,4.89,1.13,5,222,8,4,156,17,1,20,2.8
413,400,311,325,440,4.6,3.67,4,2.38,4.2,16,36,0,310,30,2,19,2.8
300,300,278,325,360,4.2,3.67,4.22,1.38,4,4,8,0,134,34,2,19,2.7
388,389,267,325,440,4.2,4,4.67,2.13,4.5,95,48,9,98,11,2,19,3.2
263,222,256,363,260,4.8,4.33,5,1.5,4,177,47,0,90,81,2,21,2.5
250,244,278,338,370,2.8,4.11,4.11,2.25,3.9,0,9,2,115,12,2,21,3.1
375,267,344,225,400,3.8,3.67,4.67,1.5,3.4,185,9,0,150,12,2,19,3.1
388,278,289,338,340,3.8,2.89,2.78,2.88,3.6,73,9,0,150,14,1,19,2.5
350,400,433,350,410,4.4,4.56,4.56,1.63,4.6,206,5,0,343,14,2,19,3.5
263,411,344,288,400,3.4,4.33,4.67,2.13,4.4,48,24,0,269,52,2,18,3.1
463,267,256,288,450,4.4,3.78,4.89,1.75,4.3,45,24,2,612,111,2,18,2.8
338,311,478,225,360,4.6,3.33,4.33,1.88,4,0,1,0,72,11,1,19,3.5
388,356,389,338,390,4.6,3.78,4.56,2,4,399,20,3,288,10,2,19,3.3
288,300,200,325,340,3,3.22,2.89,2.63,3.2,4,7,0,69,11,2,19,2.7
400,344,300,338,410,4.2,3.78,4.44,1.88,4.2,75,12,0,643,164,2,18,3.1
338,389,422,213,410,4.2,3.78,4.33,1.5,4.5,67,38,0,447,29,2,23,5.92
325,422,367,238,340,4.6,3.78,4.89,1.5,4.5,1,7,1,91,7,2,21,3.6
463,333,344,200,480,4.6,4.11,4.78,1.13,4.8,68,22,0,634,26,2,20,3.4
363,411,344,400,340,4.4,4.33,4.33,2.13,3.8,72,8,0,362,50,2,21,3.2
475,367,411,213,320,4.8,3.56,4,2.25,2.7,32,10,4,341,6,1,19,3.4
438,411,433,163,400,4.4,4.56,5,1.63,4.3,149,10,3,117,9,1,22,3.6
375,300,344,388,420,4.4,3.89,4.22,1.75,3.6,78,26,1,108,23,2,21,2.3
350,278,233,263,490,3.6,3.44,3,3,4.6,29,12,2,591,8,1,19,3.5
300,356,378,388,470,4.2,4.56,4.22,1.75,4.7,43,14,0,313,41,2,19,2.4
338,344,244,400,430,3.4,3.89,4.56,2.13,4.4,244,16,6,512,27,1,21,2.7
338,378,344,238,310,4.6,3.89,3.56,2.25,3.6,17,10,1,162,8,1,20,3.2
363,367,267,413,420,4.8,4.11,4.22,1.25,4.3,114,4,0,271,16,2,21,3
363,389,344,275,410,4.6,4.22,4.78,2,4.2,4,1,0,226,33,1,18,3.3
175,356,367,425,310,3.6,4,4.78,1.38,3.7,21,15,0,239,21,2,20,2.3
338,278,344,213,310,4.6,3.89,4.89,1.25,3.8,406,23,0,153,13,2,18,3.2
