bfia,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
3.78,4.6,4,5,1.63,4.8,27,2,0,64,27,1,20,3.4
3.22,3.8,4,4.56,1,4.1,20,6,1,58,17,2,19,3.5
4.33,4.6,4.33,4.89,1.63,4.4,286,57,1,282,26,2,19,3.5
3.78,3.8,4.44,4.67,1.75,4.3,4,4,0,269,40,2,21,2.3
3.78,4,4.67,4,1.25,4.6,1,3,4,123,15,1,20,2.8
4.22,4.6,3.89,4.11,3,4.1,1,2,0,260,30,1,19,3.3
3.44,4.4,3.67,4.44,1.75,3.8,1,13,0,199,45,2,19,3.4
4.11,5,4.78,4.78,2.25,3.9,30,7,0,322,59,2,19,3
3.44,3.8,3.89,4.11,1.5,4.3,3,2,0,198,25,1,18,2.8
3.56,4,3.89,4.67,1.38,4.5,22,3,0,458,96,2,20,3.3
3.67,4,4,4.33,1.63,4.4,21,3,0,248,41,2,19,3
3.33,4,4.44,4.56,1.38,4.4,162,4,9,136,21,2,19,2.3
3.67,3.8,3.67,4.56,1.38,3.7,140,25,1,419,11,2,22,2.9
3.67,4.6,4.44,4.78,2.13,4.2,53,11,0,395,57,2,20,3.2
2.67,3.8,3.56,4.11,1.88,3.9,15,8,1,139,7,1,20,3.4
3.89,4.2,4.67,4.67,2.13,4.3,795,42,0,273,12,2,20,2.5
3.78,4,4,4.78,1.5,4.1,24,26,0,574,66,2,20,3
3.89,3.8,4,4,1.5,4.2,15,5,2,120,10,2,19,3.2
3,4,3.89,4.67,1.88,4.1,117,29,4,489,19,2,20,1.9
3.44,4.2,3,3.89,1.88,3.7,1,3,0,94,18,1,21,2.5
3.78,3.8,3.44,4.44,1.38,4.4,28,5,4,120,14,2,22,3.5
3.67,4.2,4,4.33,1.88,4.4,54,9,0,310,31,2,19,3.2
3.56,4.4,4,4.89,2.13,4.5,23,12,1,405,62,2,19,3.4
3,4.4,3.89,4.33,1.5,3.8,73,3,0,106,46,2,18,3.1
3.33,4.2,3.89,4.33,2.25,3.7,2,1,0,228,28,2,19,2.8
4.33,4.2,4.44,4.33,1.88,4.5,156,41,12,125,12,2,22,3
3.89,5,4.11,4.56,1.38,4.2,73,1,0,332,28,1,21,3.3
3.67,4,4.33,3.89,2.13,4.5,3,5,0,226,7,1,17,3.2
2.56,3.2,4,4.56,1.5,3.7,97,3,3,143,9,1,21,1.7
2.89,4.8,3.67,4.89,1.63,4,69,5,0,225,8,1,20,3
3.78,4.6,4.11,5,1.75,4.3,3,7,0,172,47,2,18,3.8
3.78,4.4,4.89,4.89,1.75,4.6,5,7,1,199,19,2,21,3.4
4.67,4.6,4.67,4,1.38,4.5,0,2,0,107,8,2,18,3.4
3.44,4.4,4,4.22,2,4.2,24,29,1,152,23,2,19,3.1
3.44,4,3.44,4.22,1.75,3.4,55,34,0,433,37,2,20,2.8
3.33,4.2,4.11,4.22,1.63,3.5,26,3,0,467,42,1,19,3.4
4.11,3,4.11,4.11,2.13,4.7,53,2,2,123,12,2,20,2.3
3.11,5,4.67,4.56,1.25,4.3,15,21,0,261,18,2,18,3.2
2.44,5,4.22,4.89,1,4.8,20,9,0,277,7,1,21,3.8
3.44,4.8,4,4.33,1.5,4.4,90,6,1,223,33,2,21,2.7
3.11,4,4.56,5,1.5,3.9,73,1,0,38,3,1,18,2.9
3.78,4,4.44,4.33,1.38,3.8,131,5,1,27,11,2,20,3.2
3.56,4.4,4.56,4.44,1.5,4.7,8,3,0,167,6,1,25,4
3.67,3.8,4,4.22,1.75,4.8,1,1,0,472,19,1,18,2.9
3.22,4.2,3.67,4.67,1.75,3.8,73,2,0,162,12,1,20,3.5
3.22,3.6,4.22,4,1.5,4.1,35,1,1,199,20,2,21,2.9
2.67,4.8,4.11,4.44,1.5,4.5,2,3,0,227,49,2,18,3.2
4.11,4.8,4.78,4.78,1.5,4,36,16,1,616,31,1,19,3.8
3.11,3.6,3.67,4.22,1.5,3.6,0,1,0,97,11,1,18,3.1
3.67,4.4,4.56,4.22,2,4.7,45,22,1,172,18,2,19,3
3.44,4.2,3.56,3.67,2.5,4.1,79,25,2,240,11,2,20,3.2
4,4,4,4.78,2.25,4.1,31,5,0,117,11,1,19,2.8
3.11,4.4,3.78,4.56,1.5,3.4,5,6,0,280,9,1,20,3
3.22,3.4,3.33,3.44,2.63,3.7,347,2,6,89,17,2,18,2.3
3.67,4.2,4.33,4.44,1.88,4.2,24,6,3,154,41,2,19,2.7
3.67,3.4,3.78,3.33,3,4.5,550,29,7,216,10,2,18,2.7
4.56,4.2,4.44,4.11,1.5,4,7,1,0,134,22,1,21,3.5
2.89,3.6,4,4.56,2.5,3.6,42,7,0,187,27,2,21,3
3.22,1.8,3.22,4.78,1,1.8,26,3,7,418,10,1,22,3.6
2.22,3.4,3.89,4.22,1.63,4.2,5,1,0,45,6,2,19,2.9
3.78,4,4.11,4.22,2.13,4.3,20,11,0,209,34,2,20,3.6
3.56,4.2,4,4.22,2.13,3.3,30,12,2,223,26,2,19,3
2.44,4,3.89,4.44,1.63,3.9,0,2,0,181,14,2,19,3.1
4,4.6,4.67,5,1.5,4.8,66,16,0,527,26,2,21,3.7
3.44,4.2,4.56,4.78,1.13,4.5,15,10,0,200,35,2,20,3.2
4.33,5,4.89,4.22,1.38,4.2,6,2,0,167,21,1,19,3.6
3.44,4.8,4.33,4.67,1.25,4.6,73,1,0,128,6,2,19,3.7
4,4.6,4.22,4.89,1.5,3.9,20,13,6,186,7,2,21,3.8
3.89,4.4,4.22,3.67,1.75,4.7,24,22,0,328,30,2,19,2.9
3.67,4.8,4.11,4.56,2.38,4.8,8,7,0,380,54,2,18,3
4,4.6,4,4.89,2,4.3,6,17,4,638,30,2,20,3.9
3.56,4.4,4.67,4,2.38,3.8,1,26,0,124,11,2,19,2.8
2.56,4.4,3.33,4.56,1.88,3.9,4,11,4,117,8,2,18,1.6
3,5,3.22,4.22,1.75,3.9,27,19,1,195,15,2,18,3.6
3,4.4,3.89,4.56,2.25,4.2,30,4,0,444,43,1,19,2.7
3.67,4.2,3.78,4.11,1.88,3.4,28,4,0,415,38,2,21,3.2
3.67,4.8,4.22,4.67,1.63,3.7,2,11,0,176,28,2,17,2.8
2.56,4.2,2.78,5,2.5,4.2,0,1,0,41,0,1,20,3.5
2.56,3.8,3.56,4.33,1.63,3.8,13,1,0,174,5,1,29,3.5
1.78,4.8,4,4.56,1.25,4.4,28,2,0,265,33,2,21,2
4.33,3.8,4.33,4.67,2.38,4.8,208,6,39,52,7,1,19,2.8
3.78,4.2,4.11,4.89,1.13,5,6,1,0,91,34,1,19,3.3
3.11,3.2,3.89,3.78,3.13,4,73,4,0,39,3,2,19,2.7
3.78,4.4,4,5,1.25,4.9,4,1,0,336,14,1,20,3.2
3.78,4.2,3.67,3.78,2.13,3.6,41,3,3,113,6,1,19,2.8
2.78,5,4.33,4.78,1.5,3.8,73,4,0,287,34,2,19,2.8
3.33,4.4,4.11,4.67,1.75,4.4,53,1,0,165,30,2,23,3.9
2.89,4,4.11,4.56,1.75,4.4,2,1,0,62,95,2,19,3.4
3.22,4.6,4.11,4.89,1,4.5,14,6,0,244,14,1,20,3.7
3.22,4.8,4.56,4.89,1.5,4.9,96,22,0,433,67,2,18,4
3.78,3.8,4.33,4,1.88,3.7,2,4,0,119,27,2,18,3.5
3,5,3.33,4.89,1.88,4.5,1,4,0,321,100,2,18,3.4
3.67,4.2,4,4.11,2,4.7,119,2,6,140,9,1,20,2.93
3,3.6,4.22,4,1.38,4.3,480,17,6,152,16,2,20,2.2
2.89,4,4.33,4.33,1.13,4.3,76,19,0,415,63,2,19,3.2
3.89,4.4,4.67,4.22,1.5,3.7,11,6,0,276,69,2,20,2.6
3.11,4.2,3.78,4.67,1.75,3.9,5,2,0,533,41,2,19,3.1
3.78,4.4,4.22,4.44,1.5,4.6,36,5,5,199,32,2,19,4
3.56,3.6,4.33,4.44,1.38,4.2,44,5,3,511,36,2,21,2.6
4.11,4,4.22,4.78,2,3.9,228,33,1,224,14,2,21,2.9
4.33,4,4.11,4.33,2.25,4.1,30,10,0,307,35,2,18,3
3.22,3.6,4.22,4.33,1.38,4.7,11,7,0,244,56,2,19,2.2
3.11,4.2,4.22,4.89,1.13,4,1,4,0,38,5,1,19,3.1
3.44,4.4,4.11,4.89,1.63,4.1,49,5,0,402,30,2,20,3.3
3,4,3.56,4.56,1.63,4.5,16,12,0,226,48,2,18,3.3
